"station","name","lon","lat"
2214233,"Кринична",38.02473831,48.12688065
2201263,"Деражня",27.43045807,49.26725006
2200035,"Плиски",32.44234848,51.10283279
2204570,"Миргород",33.63002777,49.94932175
2218080,"Сарни",26.60293198,51.33877563
2200210,"Полонне",27.48794746,50.13956833
2208367,"Шпола",31.39762115,48.99503326
2218005,"Самбір",23.21289635,49.5167923
2204488,"Сахновщина",35.872037,49.148356
2214140,"Костянтинівка",37.721389,48.516667
2200177,"Миропіль",27.66867828,50.09976578
2200016,"Шостка",33.48028183,51.85832977
2200176,"Печанівка",27.80041695,50.07523346
2200070,"Ніжин",31.88860703,51.01798248
2214050,"Красноармійськ",37.174167,48.286111
2218070,"Мукачеве",22.71199989,48.42920303
2200060,"Путивль",33.84538651,51.2032547
2218185,"Злочів",24.89023018,49.78946304
2214060,"Лисичанськ",38.45318604,48.91510391
2200049,"Носівка",31.60408211,50.90283966
2208510,"Кодима",29.125635,48.088452
2218280,"Рокитне-Волинське",27.22068214,51.27121735
2200174,"Чуднів-Волинський",28.1445,50.0193
2204403,"Куп'янськ-Південний",37.608783,49.709576
2200739,"Михайленки",28.29333115,49.97116089
2214116,"Вовчоярська",38.488245,48.86935
2200198,"Калинівка 1",28.52920532,49.4348793
2210740,"Керч",36.4324,45.3617
2200050,"Ворожба",34.22441864,51.17006302
2204611,"Ліщинівка",34.268185,49.259403
2200600,"Чернігів",31.26615524,51.48560715
2200810,"Зернове",34.02236938,52.18385315
2200103,"Олевськ",27.64788628,51.22841263
2200120,"Бердичів",28.61318016,49.88952637
2208518,"Високопілля",33.52970505,47.48339462
2210960,"Федорівка",35.314167,47.08
2201261,"Комарівці",27.66374588,49.19577026
2214240,"Горлівка",38.044384,48.31179047
2200007,"Дарниця",30.6457119,50.43153763
2200010,"Хутір-Михайлівський",33.94598007,52.04434967
2200242,"Гнівань",28.32981873,49.10240936
2204480,"Талалаївка",33.14121628,50.84664917
2214047,"Барвінкове",37.0205574,48.89571762
2200190,"Миронівка",30.98068428,49.64836121
2210805,"Азовська",34.566667,45.583333
2201235,"Бобрик",31.03721619,50.64682007
